architecture,dataset,n_total,n_hazards,n_benigns,prevalence,tp,fn,tn,fp,sensitivity,sensitivity_ci_lo,sensitivity_ci_hi,specificity,specificity_ci_lo,specificity_ci_hi,ppv,npv,f1,f1_ci_lo,f1_ci_hi,mcc,mcc_ci_lo,mcc_ci_hi,fn_per_1000,auroc,balanced_accuracy
actionhead,physician_n41,41,27,14,0.6585365853658537,11,16,10,4,0.4074074074074074,0.24514757074395552,0.592732990319353,0.7142857142857143,0.4535091567010681,0.8827862135542308,0.7333333333333333,0.38461538461538464,0.5238095238095238,0.3157894736842105,0.6938775510204082,0.11980629235094883,-0.1899390929708991,0.40873113899508673,390.2439024390244,,0.5608465608465608
actionhead,realworld_n2000,2000,165,1835,0.0825,70,95,1472,363,0.42424242424242425,0.3513982260437973,0.5005338753807146,0.8021798365122615,0.7833302581113466,0.8197668684409531,0.16166281755196305,0.9393746011486918,0.23411371237458195,0.18905344411960814,0.2789260310323222,0.15125184548632797,0.09943555469917162,0.2036566242464193,47.49999999999999,,0.6132111303773429
constellation,physician_n41,41,27,14,0.6585365853658537,23,4,8,6,0.8518518518518519,0.6752131457218702,0.9408407222375568,0.5714285714285714,0.3259064457965074,0.7861920109552588,0.7931034482758621,0.6666666666666666,0.8214285714285715,0.6956521739130435,0.9206349206349206,0.44114814843152456,0.13227513227513227,0.7251964813926101,97.5609756097561,0.7724867724867724,0.7116402116402116
constellation,realworld_n2000,2000,165,1835,0.0825,11,154,1784,51,0.06666666666666667,0.037630121590457914,0.11542149855774975,0.9722070844686649,0.9636429728631873,0.9787982537510019,0.1774193548387097,0.9205366357069144,0.09691629955947138,0.04566210045662101,0.15246636771300448,0.061708320335960166,0.0037121550806731005,0.12506263593952482,77.0,0.5925571794236645,0.5194368755676658
cql_reward_opt,physician_n41,41,27,14,0.6585365853658537,27,0,5,9,1.0,0.8754449702581327,0.9999999999999999,0.35714285714285715,0.1634473175355414,0.612355768960926,0.75,1.0,0.8571428571428571,0.7499999999999999,0.9393939393939393,0.5175491695067657,0.2783882181415011,0.7364853795464743,0.0,0.7936507936507936,0.6785714285714286
cql_reward_opt,realworld_n2000,2000,165,1835,0.0825,154,11,161,1674,0.9333333333333333,0.8845785014422503,0.962369878409542,0.08773841961852862,0.07564005851191172,0.10155926297264209,0.08424507658643327,0.936046511627907,0.1545408931259408,0.1330624162751928,0.17644232163047574,0.020677991533354756,-0.02101756702397651,0.05744584207800477,5.499999999999999,0.5609066138221451,0.510535876475931
cql_sens_opt,physician_n41,41,27,14,0.6585365853658537,20,7,9,5,0.7407407407407407,0.5532142868544692,0.8682962543809281,0.6428571428571429,0.38764423103907397,0.8365526824644587,0.8,0.5625,0.7692307692307692,0.6222222222222223,0.8813559322033899,0.37289976240838874,0.06487229096374447,0.6555068731613544,170.73170731707322,0.7936507936507936,0.6917989417989419
cql_sens_opt,realworld_n2000,2000,165,1835,0.0825,4,161,1829,6,0.024242424242424242,0.009466869080261894,0.06066672786567241,0.9967302452316076,0.9928844803524894,0.998500606847549,0.4,0.9190954773869346,0.045714285714285714,0.0106951871657754,0.09248554913294797,0.08180638103408923,0.003693781432967272,0.1620858898865533,80.5,0.5609066138221451,0.5104863347370159
guardrails,physician_n41,41,27,14,0.6585365853658537,2,25,13,1,0.07407407407407407,0.020554654060988622,0.23369592683023144,0.9285714285714286,0.6853129557584889,0.9872777847521093,0.6666666666666666,0.34210526315789475,0.13333333333333333,0.0,0.303030303030303,0.004817277608467333,-0.3144854510165755,0.23676160173485913,609.7560975609757,0.5026455026455027,0.5013227513227514
guardrails,realworld_n2000,2000,165,1835,0.0825,10,155,1803,32,0.06060606060606061,0.0332497530900004,0.10795643517216823,0.9825613079019073,0.9754859559420204,0.9876204562528608,0.23809523809523808,0.9208375893769152,0.0966183574879227,0.0427807486631016,0.15315411155836686,0.08282941465146146,0.017373188526827225,0.15260795242672384,77.50000000000001,0.503177276855751,0.5215836842539839
logreg_tfidf,physician_n41,41,27,14,0.6585365853658537,27,0,2,12,1.0,0.8754449702581327,0.9999999999999999,0.14285714285714285,0.040093921271464966,0.39941379496970353,0.6923076923076923,1.0,0.8181818181818181,0.7017543859649124,0.9041095890410958,0.3144854510165755,0.0,0.5175491695067657,0.0,1.0,0.5714285714285714
logreg_tfidf,realworld_n2000,2000,165,1835,0.0825,160,5,170,1665,0.9696969696969697,0.93103265349197,0.9869883176760568,0.09264305177111716,0.080215054567716,0.10677303903400767,0.08767123287671233,0.9714285714285714,0.16080402010050251,0.13920117312406222,0.18290854572713644,0.06069829543859631,0.02988945134452262,0.08613247939332319,2.499999999999998,0.5892874246552721,0.5311700107340435
xgboost_sbert,physician_n41,41,27,14,0.6585365853658537,26,1,11,3,0.9629629629629629,0.8171653406642414,0.9934318540192149,0.7857142857142857,0.524107694133997,0.9242861328730683,0.896551724137931,0.9166666666666666,0.9285714285714286,0.8461538461538461,0.9841269841269841,0.780280787538259,0.5533952785404394,0.9494431566409375,24.39024390243906,0.9788359788359788,0.8743386243386243
xgboost_sbert,realworld_n2000,2000,165,1835,0.0825,70,95,1328,507,0.42424242424242425,0.3513982260437973,0.5005338753807146,0.7237057220708447,0.7027948322016087,0.7436819404759731,0.12131715771230503,0.9332396345748419,0.18867924528301888,0.15142771770062605,0.22686067298771243,0.0898419517134475,0.04226602684698755,0.1376762676316657,47.49999999999999,0.6060292296259598,0.5739740731566345
