threshold,sensitivity,specificity,fpr,architecture
0.7903416512917248,0.0,0.9994550408719346,0.0005449591280654031,logreg_tfidf
0.7562130946622777,0.0,0.9989100817438692,0.0010899182561308063,logreg_tfidf
0.7487980700540006,0.0,0.9983651226158038,0.0016348773841962094,logreg_tfidf
0.721472038754242,0.0,0.9978201634877384,0.0021798365122616126,logreg_tfidf
0.7078453815046613,0.0,0.997275204359673,0.0027247956403270157,logreg_tfidf
0.7062436266407331,0.0,0.9967302452316076,0.003269754768392419,logreg_tfidf
0.6817402889881596,0.0,0.9961852861035423,0.003814713896457711,logreg_tfidf
0.68166515828671,0.0,0.9956403269754769,0.004359673024523114,logreg_tfidf
0.6814879120326158,0.0,0.9950953678474115,0.004904632152588517,logreg_tfidf
0.6797314624073266,0.006060606060606061,0.9950953678474115,0.004904632152588517,logreg_tfidf
0.6783043061024013,0.006060606060606061,0.9945504087193461,0.00544959128065392,logreg_tfidf
0.6782459134666159,0.006060606060606061,0.9940054495912807,0.0059945504087193235,logreg_tfidf
0.6761183013109799,0.006060606060606061,0.9934604904632153,0.006539509536784727,logreg_tfidf
0.6742550769288085,0.006060606060606061,0.9929155313351499,0.00708446866485013,logreg_tfidf
0.6737584873780202,0.006060606060606061,0.9923705722070845,0.007629427792915533,logreg_tfidf
0.67294122780347,0.006060606060606061,0.9918256130790191,0.008174386920980936,logreg_tfidf
0.6723540898692563,0.006060606060606061,0.9912806539509537,0.00871934604904634,logreg_tfidf
0.6721572975839749,0.006060606060606061,0.9907356948228883,0.009264305177111742,logreg_tfidf
0.671346752010086,0.006060606060606061,0.9901907356948229,0.009809264305177146,logreg_tfidf
0.6702229094049378,0.006060606060606061,0.9896457765667575,0.010354223433242549,logreg_tfidf
0.662054381040502,0.006060606060606061,0.989100817438692,0.010899182561307952,logreg_tfidf
0.6602111106754818,0.006060606060606061,0.9885558583106268,0.011444141689373244,logreg_tfidf
0.659517029164919,0.006060606060606061,0.9880108991825614,0.011989100817438647,logreg_tfidf
0.6582648719701695,0.012121212121212121,0.9880108991825614,0.011989100817438647,logreg_tfidf
0.6559430242571007,0.01818181818181818,0.9880108991825614,0.011989100817438647,logreg_tfidf
0.6553664517130723,0.01818181818181818,0.987465940054496,0.01253405994550405,logreg_tfidf
0.6551707620670271,0.01818181818181818,0.9869209809264305,0.013079019073569453,logreg_tfidf
0.6538534470681937,0.01818181818181818,0.9863760217983651,0.013623978201634857,logreg_tfidf
0.6535727036616603,0.01818181818181818,0.9858310626702997,0.01416893732970026,logreg_tfidf
0.6524310451192155,0.01818181818181818,0.9852861035422343,0.014713896457765663,logreg_tfidf
0.6510920135685775,0.01818181818181818,0.9847411444141689,0.015258855585831066,logreg_tfidf
0.6507039700506281,0.024242424242424242,0.9847411444141689,0.015258855585831066,logreg_tfidf
0.6485333331153226,0.024242424242424242,0.9841961852861035,0.01580381471389647,logreg_tfidf
0.6479774320512731,0.024242424242424242,0.9836512261580381,0.016348773841961872,logreg_tfidf
0.6468186327167433,0.024242424242424242,0.9831062670299727,0.016893732970027275,logreg_tfidf
0.645911604200264,0.024242424242424242,0.9825613079019073,0.01743869209809268,logreg_tfidf
0.6443443845426039,0.024242424242424242,0.9820163487738419,0.01798365122615808,logreg_tfidf
0.6416919695706411,0.024242424242424242,0.9814713896457765,0.018528610354223485,logreg_tfidf
0.6395932621834381,0.024242424242424242,0.9809264305177112,0.019073569482288777,logreg_tfidf
0.6389482989620094,0.024242424242424242,0.9803814713896458,0.01961852861035418,logreg_tfidf
0.6389100150866591,0.024242424242424242,0.9798365122615804,0.020163487738419583,logreg_tfidf
0.6361043913267431,0.030303030303030304,0.9798365122615804,0.020163487738419583,logreg_tfidf
0.6308893231706024,0.030303030303030304,0.979291553133515,0.020708446866484986,logreg_tfidf
0.6300171629778882,0.030303030303030304,0.9787465940054496,0.02125340599455039,logreg_tfidf
0.629046299562584,0.030303030303030304,0.9782016348773842,0.021798365122615793,logreg_tfidf
0.6281574774158923,0.030303030303030304,0.9776566757493188,0.022343324250681196,logreg_tfidf
0.6264106840574222,0.03636363636363636,0.9776566757493188,0.022343324250681196,logreg_tfidf
0.6237721094076258,0.03636363636363636,0.9771117166212534,0.0228882833787466,logreg_tfidf
0.6232745810998105,0.03636363636363636,0.976566757493188,0.023433242506812002,logreg_tfidf
0.6216821863751194,0.03636363636363636,0.9760217983651226,0.023978201634877405,logreg_tfidf
0.6191840424215336,0.03636363636363636,0.9754768392370572,0.02452316076294281,logreg_tfidf
0.6186630024094076,0.03636363636363636,0.9749318801089918,0.02506811989100821,logreg_tfidf
0.6177984446608351,0.04242424242424243,0.9749318801089918,0.02506811989100821,logreg_tfidf
0.617423439145151,0.04242424242424243,0.9743869209809264,0.025613079019073615,logreg_tfidf
0.6157369969438468,0.04242424242424243,0.973841961852861,0.026158038147139018,logreg_tfidf
0.6143229966240557,0.04242424242424243,0.9732970027247957,0.02670299727520431,logreg_tfidf
0.6136371019994304,0.04242424242424243,0.9727520435967303,0.027247956403269713,logreg_tfidf
0.612675998237301,0.04242424242424243,0.9722070844686649,0.027792915531335116,logreg_tfidf
0.611172428106473,0.04242424242424243,0.9716621253405995,0.02833787465940052,logreg_tfidf
0.6103821069556965,0.04242424242424243,0.9711171662125341,0.028882833787465922,logreg_tfidf
0.6102215491275631,0.04242424242424243,0.9705722070844687,0.029427792915531326,logreg_tfidf
0.6099181853697373,0.04242424242424243,0.9700272479564033,0.02997275204359673,logreg_tfidf
0.6088866497182038,0.04242424242424243,0.9694822888283379,0.030517711171662132,logreg_tfidf
0.6088036540852722,0.048484848484848485,0.9694822888283379,0.030517711171662132,logreg_tfidf
0.6086866859384716,0.048484848484848485,0.9689373297002725,0.031062670299727535,logreg_tfidf
0.6066076371624851,0.048484848484848485,0.9683923705722071,0.03160762942779294,logreg_tfidf
0.6052567248281575,0.048484848484848485,0.9678474114441417,0.03215258855585834,logreg_tfidf
0.6019003274936412,0.048484848484848485,0.9673024523160763,0.032697547683923744,logreg_tfidf
0.6018952055482223,0.05454545454545454,0.9673024523160763,0.032697547683923744,logreg_tfidf
0.5982907157270886,0.05454545454545454,0.9667574931880109,0.03324250681198915,logreg_tfidf
0.5980154029937528,0.05454545454545454,0.9662125340599454,0.03378746594005455,logreg_tfidf
0.5974726490777957,0.05454545454545454,0.9656675749318802,0.03433242506811984,logreg_tfidf
0.5974468333841312,0.05454545454545454,0.9651226158038148,0.034877384196185246,logreg_tfidf
0.5966216994879179,0.05454545454545454,0.9645776566757494,0.03542234332425065,logreg_tfidf
0.5953440084210319,0.05454545454545454,0.964032697547684,0.03596730245231605,logreg_tfidf
0.5950786474325356,0.05454545454545454,0.9634877384196185,0.036512261580381455,logreg_tfidf
0.5950228083102733,0.05454545454545454,0.9629427792915531,0.03705722070844686,logreg_tfidf
0.5948629432581941,0.05454545454545454,0.9623978201634877,0.03760217983651226,logreg_tfidf
0.5941859415558596,0.05454545454545454,0.9618528610354223,0.038147138964577665,logreg_tfidf
0.5934549579521018,0.05454545454545454,0.9613079019073569,0.03869209809264307,logreg_tfidf
0.5934053705509129,0.05454545454545454,0.9607629427792915,0.03923705722070847,logreg_tfidf
0.5931178469168851,0.05454545454545454,0.9602179836512261,0.039782016348773874,logreg_tfidf
0.5919951102931743,0.05454545454545454,0.9596730245231607,0.04032697547683928,logreg_tfidf
0.5919632368036069,0.05454545454545454,0.9591280653950953,0.04087193460490468,logreg_tfidf
0.5917103140137356,0.05454545454545454,0.95858310626703,0.04141689373296997,logreg_tfidf
0.591200006275644,0.05454545454545454,0.9580381471389646,0.041961852861035376,logreg_tfidf
0.5911849444299832,0.05454545454545454,0.9574931880108992,0.04250681198910078,logreg_tfidf
0.5910242899604456,0.05454545454545454,0.9569482288828338,0.04305177111716618,logreg_tfidf
0.5909633002134228,0.05454545454545454,0.9564032697547684,0.043596730245231585,logreg_tfidf
0.5908746873472184,0.05454545454545454,0.955858310626703,0.04414168937329699,logreg_tfidf
0.5902087298604922,0.05454545454545454,0.9553133514986376,0.04468664850136239,logreg_tfidf
0.5897600617852642,0.05454545454545454,0.9547683923705722,0.045231607629427795,logreg_tfidf
0.5887608204709017,0.05454545454545454,0.9542234332425068,0.0457765667574932,logreg_tfidf
0.5878097255386008,0.05454545454545454,0.9536784741144414,0.0463215258855586,logreg_tfidf
0.5875362795101933,0.05454545454545454,0.953133514986376,0.046866485013624004,logreg_tfidf
0.5874718349444302,0.05454545454545454,0.9525885558583106,0.04741144414168941,logreg_tfidf
0.5874107708947693,0.05454545454545454,0.9520435967302452,0.04795640326975481,logreg_tfidf
0.5872838934281672,0.06060606060606061,0.9520435967302452,0.04795640326975481,logreg_tfidf
0.5863958594275058,0.06060606060606061,0.9514986376021798,0.048501362397820214,logreg_tfidf
0.5848697574142325,0.06060606060606061,0.9509536784741145,0.049046321525885506,logreg_tfidf
0.5845135064971452,0.06060606060606061,0.9504087193460491,0.04959128065395091,logreg_tfidf
0.5844379760882072,0.06060606060606061,0.9498637602179837,0.05013623978201631,logreg_tfidf
0.583593124191222,0.06060606060606061,0.9493188010899183,0.050681198910081715,logreg_tfidf
0.5814714277060509,0.06060606060606061,0.9487738419618529,0.05122615803814712,logreg_tfidf
0.5813244921373117,0.06060606060606061,0.9482288828337875,0.05177111716621252,logreg_tfidf
0.581219246892545,0.06060606060606061,0.9476839237057221,0.052316076294277924,logreg_tfidf
0.5811286126516894,0.06060606060606061,0.9471389645776567,0.05286103542234333,logreg_tfidf
0.5808471677946435,0.06666666666666667,0.9471389645776567,0.05286103542234333,logreg_tfidf
0.5807145859328832,0.06666666666666667,0.9465940054495913,0.05340599455040873,logreg_tfidf
0.5806819808679258,0.06666666666666667,0.9460490463215259,0.053950953678474134,logreg_tfidf
0.5800501293444136,0.06666666666666667,0.9455040871934605,0.05449591280653954,logreg_tfidf
0.5798795096824946,0.06666666666666667,0.9449591280653951,0.05504087193460494,logreg_tfidf
0.5793577272532737,0.06666666666666667,0.9444141689373297,0.05558583106267034,logreg_tfidf
0.5791515942514143,0.06666666666666667,0.9438692098092643,0.056130790190735746,logreg_tfidf
0.5789607337374504,0.06666666666666667,0.943324250681199,0.05667574931880104,logreg_tfidf
0.5785642845400321,0.07272727272727272,0.943324250681199,0.05667574931880104,logreg_tfidf
0.5782356444987615,0.07272727272727272,0.9427792915531336,0.05722070844686644,logreg_tfidf
0.5780510577815483,0.07272727272727272,0.9422343324250682,0.057765667574931845,logreg_tfidf
0.5773597121796524,0.07272727272727272,0.9416893732970028,0.05831062670299725,logreg_tfidf
0.5758845793906869,0.07272727272727272,0.9411444141689373,0.05885558583106265,logreg_tfidf
0.5755541154681689,0.07878787878787878,0.9411444141689373,0.05885558583106265,logreg_tfidf
0.5746138003591961,0.07878787878787878,0.940599455040872,0.059400544959128054,logreg_tfidf
0.5737944523032493,0.07878787878787878,0.9400544959128065,0.05994550408719346,logreg_tfidf
0.5737576447387632,0.07878787878787878,0.9395095367847411,0.06049046321525886,logreg_tfidf
0.5733229892390088,0.07878787878787878,0.9389645776566757,0.061035422343324264,logreg_tfidf
0.5730583259319886,0.07878787878787878,0.9384196185286103,0.06158038147138967,logreg_tfidf
0.5725743048003831,0.07878787878787878,0.9378746594005449,0.06212534059945507,logreg_tfidf
0.5722551090022319,0.07878787878787878,0.9373297002724795,0.06267029972752047,logreg_tfidf
0.5719947723534213,0.07878787878787878,0.9367847411444141,0.06321525885558588,logreg_tfidf
0.5717755644364066,0.07878787878787878,0.9362397820163487,0.06376021798365128,logreg_tfidf
0.571619482226086,0.07878787878787878,0.9356948228882834,0.06430517711171657,logreg_tfidf
0.5714047611500844,0.07878787878787878,0.935149863760218,0.06485013623978197,logreg_tfidf
0.5711350645419051,0.07878787878787878,0.9346049046321526,0.06539509536784738,logreg_tfidf
0.5710319595322898,0.07878787878787878,0.9340599455040872,0.06594005449591278,logreg_tfidf
0.5707908909737726,0.07878787878787878,0.9335149863760218,0.06648501362397818,logreg_tfidf
0.5702531298535873,0.07878787878787878,0.9329700272479564,0.06702997275204359,logreg_tfidf
0.5701291790281259,0.07878787878787878,0.932425068119891,0.06757493188010899,logreg_tfidf
0.5690711073240463,0.07878787878787878,0.9318801089918256,0.0681198910081744,logreg_tfidf
0.5687851313267378,0.07878787878787878,0.9313351498637602,0.0686648501362398,logreg_tfidf
0.5681635930442478,0.07878787878787878,0.9307901907356948,0.0692098092643052,logreg_tfidf
0.5680784099157611,0.07878787878787878,0.9302452316076294,0.0697547683923706,logreg_tfidf
0.5677900740261141,0.08484848484848485,0.9302452316076294,0.0697547683923706,logreg_tfidf
0.5672964226101943,0.08484848484848485,0.929700272479564,0.070299727520436,logreg_tfidf
0.5669000881706521,0.08484848484848485,0.9291553133514986,0.07084468664850141,logreg_tfidf
0.5668465883270289,0.09090909090909091,0.9291553133514986,0.07084468664850141,logreg_tfidf
0.5657648805838679,0.09090909090909091,0.9286103542234332,0.07138964577656681,logreg_tfidf
0.5656500428902209,0.09090909090909091,0.9280653950953679,0.0719346049046321,logreg_tfidf
0.5655466504545369,0.09696969696969697,0.9280653950953679,0.0719346049046321,logreg_tfidf
0.5653320531940388,0.09696969696969697,0.9275204359673025,0.07247956403269751,logreg_tfidf
0.564905249306195,0.09696969696969697,0.9269754768392371,0.07302452316076291,logreg_tfidf
0.5634026366802795,0.09696969696969697,0.9264305177111717,0.07356948228882831,logreg_tfidf
0.5624652846644053,0.10303030303030303,0.9264305177111717,0.07356948228882831,logreg_tfidf
0.5621650993621429,0.10303030303030303,0.9258855585831063,0.07411444141689372,logreg_tfidf
0.5605378164019504,0.10303030303030303,0.9253405994550409,0.07465940054495912,logreg_tfidf
0.5605122558865148,0.10303030303030303,0.9247956403269755,0.07520435967302452,logreg_tfidf
0.5602925771611738,0.10303030303030303,0.9242506811989101,0.07574931880108993,logreg_tfidf
0.5602125635347673,0.10303030303030303,0.9237057220708447,0.07629427792915533,logreg_tfidf
0.5600087870096244,0.10303030303030303,0.9231607629427793,0.07683923705722073,logreg_tfidf
0.5599877927061597,0.10909090909090909,0.9231607629427793,0.07683923705722073,logreg_tfidf
0.5598424055660087,0.10909090909090909,0.9226158038147139,0.07738419618528614,logreg_tfidf
0.5595552327589071,0.11515151515151516,0.9226158038147139,0.07738419618528614,logreg_tfidf
0.5592057100661216,0.11515151515151516,0.9220708446866485,0.07792915531335154,logreg_tfidf
0.5584398273126177,0.11515151515151516,0.9215258855585831,0.07847411444141694,logreg_tfidf
0.5583600470417122,0.11515151515151516,0.9209809264305178,0.07901907356948223,logreg_tfidf
0.5581385185722743,0.11515151515151516,0.9204359673024524,0.07956403269754764,logreg_tfidf
