stage1,stage2,dataset,sensitivity,sensitivity_ci_lo,sensitivity_ci_hi,specificity,specificity_ci_lo,specificity_ci_hi,ppv,npv,f1,mcc,fn_per_1000,tp,fp,tn,fn
cql_sens_opt,cql_reward_opt,realworld_n2000,0.0242,0.0095,0.0607,0.9967,0.9929,0.9985,0.4,0.9191,0.0457,0.0818,80.5,4,6,1829,161
cql_sens_opt,gemini_3_1_pro_safety,realworld_n2000,0.0061,0.0011,0.0335,1.0,0.9979,1.0,1.0,0.918,0.012,0.0746,82.0,1,0,1835,164
cql_sens_opt,guardrails,realworld_n2000,0.0061,0.0011,0.0335,1.0,0.9979,1.0,1.0,0.918,0.012,0.0746,82.0,1,0,1835,164
cql_sens_opt,logreg_tfidf,realworld_n2000,0.0242,0.0095,0.0607,0.9967,0.9929,0.9985,0.4,0.9191,0.0457,0.0818,80.5,4,6,1829,161
cql_sens_opt,xgboost_sbert,realworld_n2000,0.0242,0.0095,0.0607,0.9978,0.9944,0.9992,0.5,0.9192,0.0462,0.0962,80.5,4,4,1831,161
gemini_3_1_pro_safety,actionhead,realworld_n2000,0.0121,0.0033,0.0431,0.9978,0.9944,0.9992,0.3333,0.9183,0.0234,0.05,81.5,2,4,1831,163
gemini_3_1_pro_safety,claude_opus_4_7_safety,realworld_n2000,0.0182,0.0062,0.0521,0.9962,0.9921,0.9982,0.3,0.9186,0.0343,0.056,81.0,3,7,1828,162
gemini_3_1_pro_safety,constellation,realworld_n2000,0.0121,0.0033,0.0431,0.9995,0.9969,0.9999,0.6667,0.9184,0.0238,0.0823,81.5,2,1,1834,163
gemini_3_1_pro_safety,cql_reward_opt,realworld_n2000,0.0182,0.0062,0.0521,0.9946,0.99,0.997,0.2308,0.9185,0.0337,0.0436,81.0,3,10,1825,162
gemini_3_1_pro_safety,cql_sens_opt,realworld_n2000,0.0061,0.0011,0.0335,1.0,0.9979,1.0,1.0,0.918,0.012,0.0746,82.0,1,0,1835,164
gemini_3_1_pro_safety,guardrails,realworld_n2000,0.0,0.0,0.0228,0.9995,0.9969,0.9999,0.0,0.9175,0.0,-0.0067,82.5,0,1,1834,165
gemini_3_1_pro_safety,logreg_tfidf,realworld_n2000,0.0182,0.0062,0.0521,0.9946,0.99,0.997,0.2308,0.9185,0.0337,0.0436,81.0,3,10,1825,162
gemini_3_1_pro_safety,xgboost_sbert,realworld_n2000,0.0182,0.0062,0.0521,0.9989,0.996,0.9997,0.6,0.9188,0.0353,0.0942,81.0,3,2,1833,162
guardrails,actionhead,realworld_n2000,0.0242,0.0095,0.0607,0.9935,0.9886,0.9963,0.25,0.9189,0.0442,0.0547,80.5,4,12,1823,161
guardrails,claude_opus_4_7_safety,realworld_n2000,0.0303,0.013,0.069,0.9891,0.9832,0.9929,0.2,0.919,0.0526,0.0481,80.0,5,20,1815,160
guardrails,constellation,realworld_n2000,0.0121,0.0033,0.0431,0.9995,0.9969,0.9999,0.6667,0.9184,0.0238,0.0823,81.5,2,1,1834,163
guardrails,cql_reward_opt,realworld_n2000,0.0606,0.0332,0.108,0.9831,0.9761,0.9881,0.2439,0.9209,0.0971,0.0849,77.5,10,31,1804,155
guardrails,cql_sens_opt,realworld_n2000,0.0061,0.0011,0.0335,1.0,0.9979,1.0,1.0,0.918,0.012,0.0746,82.0,1,0,1835,164
guardrails,gemini_3_1_pro_safety,realworld_n2000,0.0,0.0,0.0228,0.9995,0.9969,0.9999,0.0,0.9175,0.0,-0.0067,82.5,0,1,1834,165
guardrails,logreg_tfidf,realworld_n2000,0.0606,0.0332,0.108,0.9826,0.9755,0.9876,0.2381,0.9208,0.0966,0.0828,77.5,10,32,1803,155
guardrails,xgboost_sbert,realworld_n2000,0.0424,0.0207,0.085,0.9918,0.9866,0.995,0.3182,0.9201,0.0749,0.0903,79.0,7,15,1820,158
logreg_tfidf,actionhead,realworld_n2000,0.4182,0.3456,0.4945,0.8093,0.7906,0.8266,0.1647,0.9393,0.2363,0.1538,48.0,69,350,1485,96
logreg_tfidf,claude_opus_4_7_safety,realworld_n2000,0.2909,0.227,0.3643,0.8747,0.8587,0.889,0.1727,0.9321,0.2167,0.1317,58.5,48,230,1605,117
logreg_tfidf,constellation,realworld_n2000,0.0667,0.0376,0.1154,0.9722,0.9636,0.9788,0.1774,0.9205,0.0969,0.0617,77.0,11,51,1784,154
logreg_tfidf,cql_reward_opt,realworld_n2000,0.9152,0.8626,0.9488,0.1673,0.1509,0.1851,0.0899,0.9564,0.1638,0.0618,7.0,151,1528,307,14
logreg_tfidf,cql_sens_opt,realworld_n2000,0.0242,0.0095,0.0607,0.9967,0.9929,0.9985,0.4,0.9191,0.0457,0.0818,80.5,4,6,1829,161
logreg_tfidf,gemini_3_1_pro_safety,realworld_n2000,0.0182,0.0062,0.0521,0.9946,0.99,0.997,0.2308,0.9185,0.0337,0.0436,81.0,3,10,1825,162
logreg_tfidf,guardrails,realworld_n2000,0.0606,0.0332,0.108,0.9826,0.9755,0.9876,0.2381,0.9208,0.0966,0.0828,77.5,10,32,1803,155
logreg_tfidf,xgboost_sbert,realworld_n2000,0.4182,0.3456,0.4945,0.7357,0.715,0.7554,0.1245,0.9336,0.1919,0.0946,48.0,69,485,1350,96
xgboost_sbert,actionhead,realworld_n2000,0.2545,0.1942,0.3261,0.8877,0.8725,0.9014,0.1694,0.9298,0.2034,0.1188,61.5,42,206,1629,123
xgboost_sbert,claude_opus_4_7_safety,realworld_n2000,0.1576,0.1099,0.2209,0.9439,0.9324,0.9535,0.2016,0.9257,0.1769,0.1136,69.5,26,103,1732,139
xgboost_sbert,constellation,realworld_n2000,0.0667,0.0376,0.1154,0.9815,0.9742,0.9867,0.2444,0.9212,0.1048,0.0893,77.0,11,34,1801,154
xgboost_sbert,cql_reward_opt,realworld_n2000,0.4182,0.3456,0.4945,0.7362,0.7156,0.7559,0.1248,0.9337,0.1922,0.095,48.0,69,484,1351,96
xgboost_sbert,cql_sens_opt,realworld_n2000,0.0242,0.0095,0.0607,0.9978,0.9944,0.9992,0.5,0.9192,0.0462,0.0962,80.5,4,4,1831,161
xgboost_sbert,gemini_3_1_pro_safety,realworld_n2000,0.0182,0.0062,0.0521,0.9989,0.996,0.9997,0.6,0.9188,0.0353,0.0942,81.0,3,2,1833,162
xgboost_sbert,guardrails,realworld_n2000,0.0424,0.0207,0.085,0.9918,0.9866,0.995,0.3182,0.9201,0.0749,0.0903,79.0,7,15,1820,158
xgboost_sbert,logreg_tfidf,realworld_n2000,0.4182,0.3456,0.4945,0.7357,0.715,0.7554,0.1245,0.9336,0.1919,0.0946,48.0,69,485,1350,96
actionhead,claude_opus_4_7_safety,physician_n41,0.4074,0.2451,0.5927,0.7143,0.4535,0.8828,0.7333,0.3846,0.5238,0.1198,390.24,11,4,10,16
actionhead,constellation,physician_n41,0.4074,0.2451,0.5927,0.7143,0.4535,0.8828,0.7333,0.3846,0.5238,0.1198,390.24,11,4,10,16
actionhead,cql_reward_opt,physician_n41,0.4074,0.2451,0.5927,0.7143,0.4535,0.8828,0.7333,0.3846,0.5238,0.1198,390.24,11,4,10,16
actionhead,cql_sens_opt,physician_n41,0.3704,0.2153,0.5577,0.7143,0.4535,0.8828,0.7143,0.3704,0.4878,0.0847,414.63,10,4,10,17
actionhead,gemini_3_1_pro_safety,physician_n41,0.2222,0.1061,0.4076,0.8571,0.6006,0.9599,0.75,0.3636,0.3429,0.095,512.2,6,2,12,21
actionhead,guardrails,physician_n41,0.037,0.0066,0.1828,0.9286,0.6853,0.9873,0.5,0.3333,0.069,-0.0757,634.15,1,1,13,26
actionhead,logreg_tfidf,physician_n41,0.4074,0.2451,0.5927,0.7143,0.4535,0.8828,0.7333,0.3846,0.5238,0.1198,390.24,11,4,10,16
actionhead,xgboost_sbert,physician_n41,0.4074,0.2451,0.5927,0.9286,0.6853,0.9873,0.9167,0.4483,0.5641,0.3502,390.24,11,1,13,16
claude_opus_4_7_safety,actionhead,physician_n41,0.4074,0.2451,0.5927,0.7143,0.4535,0.8828,0.7333,0.3846,0.5238,0.1198,390.24,11,4,10,16
claude_opus_4_7_safety,constellation,physician_n41,0.7037,0.5152,0.8415,0.5714,0.3259,0.7862,0.76,0.5,0.7308,0.2675,195.12,19,6,8,8
claude_opus_4_7_safety,cql_reward_opt,physician_n41,0.8148,0.633,0.9182,0.5714,0.3259,0.7862,0.7857,0.6154,0.8,0.3936,121.95,22,6,8,5
claude_opus_4_7_safety,cql_sens_opt,physician_n41,0.6296,0.4423,0.7847,0.6429,0.3876,0.8366,0.7727,0.4737,0.6939,0.2591,243.9,17,5,9,10
claude_opus_4_7_safety,gemini_3_1_pro_safety,physician_n41,0.2963,0.1585,0.4848,0.8571,0.6006,0.9599,0.8,0.3871,0.4324,0.1694,463.41,8,2,12,19
claude_opus_4_7_safety,guardrails,physician_n41,0.0741,0.0206,0.2337,0.9286,0.6853,0.9873,0.6667,0.3421,0.1333,0.0048,609.76,2,1,13,25
claude_opus_4_7_safety,logreg_tfidf,physician_n41,0.8148,0.633,0.9182,0.5714,0.3259,0.7862,0.7857,0.6154,0.8,0.3936,121.95,22,6,8,5
claude_opus_4_7_safety,xgboost_sbert,physician_n41,0.8148,0.633,0.9182,0.9286,0.6853,0.9873,0.9565,0.7222,0.88,0.7103,121.95,22,1,13,5
constellation,actionhead,physician_n41,0.4074,0.2451,0.5927,0.7143,0.4535,0.8828,0.7333,0.3846,0.5238,0.1198,390.24,11,4,10,16
